ful_000003|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_000005|So capanɗe jeegom feccaama laabi tati wona noogaas.
ful_000010|nan
ful_000011|nan
ful_000015|nan
ful_000018|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_000020|So a ƴettii sappo, a sowii ɗum laabi sappo, tottat maa ko teemedere.
ful_000023|nan
ful_000029|nan
ful_000037|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_000048|Janngoowo oo ko ko nati mbegeyal, ngal goobu wiyolee, naatni nder heen mbege gooto daneejo. E nder oon mbege daneejo, o waɗii kaareeji tati ooli deggondirɗi, ngoni e hakkunde hee.
ful_000049|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_000051|nan
ful_000054|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_000056|nan
ful_000059|nan
ful_000063|E nder lewru colte, to Dakaar, waɗiino ñalawma ɓuuɓɗo. Ñande heen, nguleeki kii diwaano degereeji noogaas. Nde ki lesɗi ndee, ki tolninoo ko e degereeji sappo e jeegom.
ful_000069|nan
ful_000074|nan
ful_000079|Yeru, e rogere sappo-e-ɗiɗaɓere: sappo-e-ɗiɗi lewru e hitaande hee, ko lewru weltaare, sappo e ɗiɗo yimooɓe mbayliima to Place de la Nation sénégalaise.
ful_000080|E ngal natal ƴettangal e sit gooto, eɗen nji’a heen ladde sukkunde e lekɗe keewɗe, eɗen cooynoo kaaƴe toowɗe dow asamaan, mo goobu baka, ina waɗi seeɗa duule.
ful_000081|Nayaɓal teemedere fota e noogaas e joyi
ful_000085|To Kawlak toya, caggal ñalawma gulɗo haa tolnii e degereeji capanɗe tati e jeenayi, e kikiiɗe hee, nguleeki kii ustiima haa tolnii e degereeji sappo e ɗiɗi.
ful_000100|nan
ful_000101|nan
ful_000102|nan
ful_000105|nan
ful_000107|Nayaɓal teemedere fota e noogaas e joyi
ful_000108|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_000109|nan
ful_000115|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_000118|nan
ful_000121|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_000123|nan
ful_000130|nan
ful_000135|Nji’at-mi e natal ngal ko janngoowo gooto natɗo mbege mo goobu baka e hoodere raneere, ina waɗi cate jeegom, ina woni kadi e nder mbege oo, e hakkunde mum teru.
ful_000148|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_000153|nan
ful_000154|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_000157|nan
ful_000159|nan
ful_000160|nan
ful_000167|nan
ful_000172|nan
ful_000173|nan
ful_000176|Eɗen mbaawi wi’de ko nji’aten koo, ko fallanteere, pot piindi baɗɗo piindol cowtingol ina fawaa heen, ridooji ɗii ina ngudditaa.
ful_000180|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_000182|nan
ful_000187|nan
ful_000188|nan
ful_000192|Ko nji’aten ɗoo koo, ina waawi jaggireede pijirlooji cukalel tokosel, cowpotalji, kaareeji e tatiwalji baɗɗi goobuuji ceertuɗi, etee eɗi naatnaattondiree ngam feewnude huunde.
ful_000199|nan
ful_000206|nan
ful_000216|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_000219|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
